NAME,PARTIES
D'ALESSANDRO Luca,POPOLO DELLA LIBERTA'
DAL LAGO Manuela,LEGA NORD PADANIA
DAL MORO Gian Pietro,PARTITO DEMOCRATICO
DAMIANO Cesare,PARTITO DEMOCRATICO
D'AMICO Claudio,LEGA NORD PADANIA
D'ANNA Vincenzo,POPOLO E TERRITORIO (NOI SUD-LIBERTA' ED AUTONOMIA; POPOLARI D'ITALIA DOMANI-PID; MOVIMENTO DI RESPONSABILITA' NAZIONALE-MRN; AZIONE POPOLARE; ALLEANZA DI CENTRO-ADC; INTESA POPOLARE)
D'ANTONA Olga,PARTITO DEMOCRATICO
D'ANTONI Sergio Antonio,PARTITO DEMOCRATICO
DE ANGELIS Marcello,POPOLO DELLA LIBERTA'
DE BIASI Emilia Grazia,PARTITO DEMOCRATICO
DE CAMILLIS Sabrina,POPOLO DELLA LIBERTA'
DE CORATO Riccardo,POPOLO DELLA LIBERTA'
DE GIROLAMO Nunzia,POPOLO DELLA LIBERTA'
DELFINO Teresio,UNIONE DI CENTRO PER IL TERZO POLO
DELLA VEDOVA Benedetto,FUTURO E LIBERTA' PER IL TERZO POLO
DELL'ELCE Giovanni,POPOLO DELLA LIBERTA'
DEL TENNO Maurizio,POPOLO DELLA LIBERTA'
DE LUCA Francesco,POPOLO DELLA LIBERTA'
DE MICHELI Paola,PARTITO DEMOCRATICO
DE NICHILO RIZZOLI Melania,POPOLO DELLA LIBERTA'
DE PASQUALE Rosa,PARTITO DEMOCRATICO
DE POLI Antonio,UNIONE DI CENTRO PER IL TERZO POLO
DE SIANO Domenico,POPOLO DELLA LIBERTA'
DESIDERATI Marco,LEGA NORD PADANIA
DE TORRE Maria Letizia,PARTITO DEMOCRATICO
DI BIAGIO Aldo,FUTURO E LIBERTA' PER IL TERZO POLO
DI CAGNO ABBRESCIA Simeone,POPOLO DELLA LIBERTA'
DI CATERINA Marcello,POPOLO DELLA LIBERTA'
DI CENTA Manuela,POPOLO DELLA LIBERTA'
DI GIUSEPPE Anita,ITALIA DEI VALORI
DIMA Giovanni,POPOLO DELLA LIBERTA'
DI MAURO Giovanni Roberto,MISTO
D'INCECCO Vittoria,PARTITO DEMOCRATICO
DIONISI Armando,UNIONE DI CENTRO PER IL TERZO POLO
DI PIETRO Antonio,ITALIA DEI VALORI
D'IPPOLITO VITALE Ida,UNIONE DI CENTRO PER IL TERZO POLO
DI STANISLAO Augusto,ITALIA DEI VALORI
DISTASO Antonio,POPOLO DELLA LIBERTA'
DIVELLA Francesco,FUTURO E LIBERTA' PER IL TERZO POLO
DI VIRGILIO Domenico,POPOLO DELLA LIBERTA'
DI VIZIA Gian Carlo,LEGA NORD PADANIA
DONADI Massimo,MISTO
DOZZO Gianpaolo,LEGA NORD PADANIA
DRAGO Giuseppe,MISTO
DUILIO Lino,PARTITO DEMOCRATICO
DUSSIN Guido,LEGA NORD PADANIA
DUSSIN Luciano,LEGA NORD PADANIA
ESPOSITO Stefano,PARTITO DEMOCRATICO
EVANGELISTI Fabio,ITALIA DEI VALORI
FABBRI Luigi,MISTO
FABI Sabina,LEGA NORD PADANIA
FADDA Paolo,PARTITO DEMOCRATICO
FAENZI Monica,POPOLO DELLA LIBERTA'
FALLICA Giuseppe,MISTO
FARINA Gianni,PARTITO DEMOCRATICO
FARINA Renato,POPOLO DELLA LIBERTA'
FARINA COSCIONI Maria Antonietta,PARTITO DEMOCRATICO
FARINONE Enrico,PARTITO DEMOCRATICO
FASSINO Piero,PARTITO DEMOCRATICO
FAVA Giovanni,LEGA NORD PADANIA
FAVIA David,MISTO
FEDI Marco,PARTITO DEMOCRATICO
FEDRIGA Massimiliano,LEGA NORD PADANIA
FERRANTI Donatella,PARTITO DEMOCRATICO
FERRARI Pierangelo,PARTITO DEMOCRATICO
FIANO Emanuele,PARTITO DEMOCRATICO
FINI Gianfranco,FUTURO E LIBERTA' PER IL TERZO POLO
FIORIO Massimo,PARTITO DEMOCRATICO
FIORONI Giuseppe,PARTITO DEMOCRATICO
FITTO Raffaele,POPOLO DELLA LIBERTA'
FLUVI Alberto,PARTITO DEMOCRATICO
FOGLIARDI Giampaolo,PARTITO DEMOCRATICO
FOGLIATO Sebastiano,LEGA NORD PADANIA
FOLLEGOT Fulvio,LEGA NORD PADANIA
FONTANA Gregorio,POPOLO DELLA LIBERTA'
FONTANA Vincenzo Antonio,POPOLO DELLA LIBERTA'
FONTANELLI Paolo,PARTITO DEMOCRATICO
FORCIERI Giovanni Lorenzo,PARTITO DEMOCRATICO
FORCOLIN Gianluca,LEGA NORD PADANIA
FORMICHELLA Nicola,POPOLO DELLA LIBERTA'
FORMISANO Aniello,MISTO
FORMISANO Anna Teresa,UNIONE DI CENTRO PER IL TERZO POLO
FOTI Antonino,POPOLO DELLA LIBERTA'
FOTI Tommaso,POPOLO DELLA LIBERTA'
FRANCESCHINI Dario,PARTITO DEMOCRATICO
FRANZOSO Pietro,POPOLO DELLA LIBERTA'
FRASSINETTI Paola,POPOLO DELLA LIBERTA'
FRATTINI Franco,POPOLO DELLA LIBERTA'
FRONER Laura,PARTITO DEMOCRATICO
FUCCI Benedetto Francesco,POPOLO DELLA LIBERTA'
FUGATTI Maurizio,LEGA NORD PADANIA
GAGLIONE Antonio,MISTO
GALATI Giuseppe,POPOLO DELLA LIBERTA'
GALLETTI Gian Luca,UNIONE DI CENTRO PER IL TERZO POLO
GALLI Daniele,FUTURO E LIBERTA' PER IL TERZO POLO
GARAGNANI Fabio,POPOLO DELLA LIBERTA'
GARAVINI Laura,PARTITO DEMOCRATICO
GARDINI Elisabetta,MISTO
GAROFALO Vincenzo,POPOLO DELLA LIBERTA'
GAROFANI Francesco Saverio,PARTITO DEMOCRATICO
GASBARRA Enrico,PARTITO DEMOCRATICO
GATTI Maria Grazia,PARTITO DEMOCRATICO
GAVA Fabio,MISTO
GELMINI Mariastella,POPOLO DELLA LIBERTA'
GENOVESE Francantonio,PARTITO DEMOCRATICO
GENTILONI SILVERI Paolo,PARTITO DEMOCRATICO
GERMANA' Antonino Salvatore,POPOLO DELLA LIBERTA'
GHEDINI Niccolo',POPOLO DELLA LIBERTA'
GHIGLIA Agostino,POPOLO DELLA LIBERTA'
GHIZZONI Manuela,PARTITO DEMOCRATICO
GIACHETTI Roberto,PARTITO DEMOCRATICO
GIACOMELLI Antonello,PARTITO DEMOCRATICO
GIACOMONI Sestino,POPOLO DELLA LIBERTA'
GIAMMANCO Gabriella,POPOLO DELLA LIBERTA'
GIANNI Pippo,POPOLO DELLA LIBERTA'
GIBELLI Andrea,LEGA NORD PADANIA
GIBIINO Vincenzo,POPOLO DELLA LIBERTA'
GIDONI Franco,LEGA NORD PADANIA
GINEFRA Dario,PARTITO DEMOCRATICO
GINOBLE Tommaso,PARTITO DEMOCRATICO
GIORGETTI Alberto,POPOLO DELLA LIBERTA'
GIORGETTI Giancarlo,LEGA NORD PADANIA
GIOVANELLI Oriano,PARTITO DEMOCRATICO
GIRLANDA Rocco,POPOLO DELLA LIBERTA'
GIRO Francesco Maria,POPOLO DELLA LIBERTA'
GIUDICE Gaspare,POPOLO DELLA LIBERTA'
GIULIETTI Giuseppe,MISTO
GNECCHI Marialuisa,PARTITO DEMOCRATICO
GOISIS Paola,LEGA NORD PADANIA
GOLFO Lella,POPOLO DELLA LIBERTA'
GOTTARDO Isidoro,POPOLO DELLA LIBERTA'
GOZI Sandro,PARTITO DEMOCRATICO
GRANATA Benedetto Fabio,FUTURO E LIBERTA' PER IL TERZO POLO
GRASSANO Maurizio,MISTO
GRASSI Gero,PARTITO DEMOCRATICO
GRAZIANO Stefano,PARTITO DEMOCRATICO
GRIMALDI Ugo Maria Gianfranco,MISTO
GRIMOLDI Paolo,LEGA NORD PADANIA
GUZZANTI Paolo,MISTO
HOLZMANN Giorgio,POPOLO DELLA LIBERTA'
IANNACCONE Arturo,MISTO
IANNARILLI Antonello,POPOLO DELLA LIBERTA'
IANNUZZI Tino,PARTITO DEMOCRATICO
IAPICCA Maurizio,MISTO
ISIDORI Eraldo,LEGA NORD PADANIA
