NAME,PARTIES
RIPAMONTI Paolo,L-SP-PSd'Az
RIVOLTA Erica,L-SP-PSd'Az
RIZZOTTI Maria,FI-BP
ROJC Tatjana,PD
ROMAGNOLI Sergio,M5S
ROMANI Paolo,FI-BP
ROMANO Iunio Valerio,M5S
ROMEO Massimiliano,L-SP-PSd'Az
RONZULLI Licia,FI-BP
ROSSI Mariarosaria,FI-BP
ROSSOMANDO Anna,PD
RUBBIA Carlo,INDEPENDENT
RUFA Gianfranco,L-SP-PSd'Az
RUSPANDINI Massimo,FdI
RUSSO Loredana,M5S
SACCONE Antonio,FI-BP
SALVINI Matteo,L-SP-PSd'Az
SANTANGELO Vincenzo,M5S
SANTILLO Agostino,M5S
SAPONARA Maria,L-SP-PSd'Az
SAVIANE Paolo,L-SP-PSd'Az
SBRANA Rosellina,L-SP-PSd'Az
SBROLLINI Daniela,PD
SCHIFANI Renato,FI-BP
SCIASCIA Salvatore,FI-BP
SEGRE Liliana,Misto
SERAFINI Giancarlo,FI-BP
SICLARI Marco,FI-BP
SILERI Pierpaolo,M5S
SIRI Armando,L-SP-PSd'Az
SOLINAS Christian,L-SP-PSd'Az
STABILE Laura,FI-BP
STANCANELLI Raffaele,FdI
STEFANI Erika,L-SP-PSd'Az
STEFANO Dario,PD
STEGER Dieter,Aut (SVP-PATT; UV)
SUDANO Valeria,PD
TARICCO Mino,PD
TAVERNA Paola,M5S
TESEI Donatella,L-SP-PSd'Az
TESTOR Elena,FI-BP
TIRABOSCHI Maria Virginia,FI-BP
TOFFANIN Roberta,FI-BP
TONINELLI Danilo,M5S
TOSATO Paolo,L-SP-PSd'Az
TOTARO Achille,FdI
TRENTACOSTE Fabrizio,M5S
TURCO Mario,M5S
UNTERBERGER Julia,Aut (SVP-PATT; UV)
URRARO Francesco,M5S
URSO Adolfo,FdI
VACCARO Sergio,M5S
VALENTE Valeria,PD
VALLARDI Gianpaolo,L-SP-PSd'Az
VANIN Orietta,M5S
VATTUONE Vito,PD
VERDUCCI Francesco,PD
VESCOVI Manuel,L-SP-PSd'Az
VITALI Luigi,FI-BP
VONO Gelsomina,M5S
ZAFFINI Francesco,FdI
ZANDA Luigi,PD
ZULIANI Cristiano,L-SP-PSd'Az
